id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
3573456560,致命魔术,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p480383375.jpg,2006-10-17(罗马电影节),https://movie.douban.com/subject/1780330/,8.9,"剧情,悬疑,惊悚",4,,,2022-11-20 01:19:12,
3572757674,疯狂动物城+,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2883556682.jpg,2022-11-09(美国网络),https://movie.douban.com/subject/35284242/,8.5,"喜剧,爱情,犯罪",4,,,2022-11-19 17:46:50,
3566871977,霹雳剑踪,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2526279711.jpg,2005-02,https://movie.douban.com/subject/1920822/,9.4,"武侠,舞台艺术",5,,,2022-11-14 14:44:33,
3566871487,多情剑客无情剑,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2266400516.jpg,1977-10-14(中国香港),https://movie.douban.com/subject/1302628/,7.5,"动作,武侠,古装",4,,,2022-11-14 14:44:03,
3552338424,霹雳奇幻 西幽玹歌,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2613870177.jpg,2019-10-25(中国台湾),https://movie.douban.com/subject/33377346/,8.2,"动画,武侠",4,,,2022-11-01 23:49:07,
3552338137,霹雳奇幻 生死一剑,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2518143759.jpg,2017-12-08(中国台湾),https://movie.douban.com/subject/26887055/,8,"动作,动画,奇幻",4,,,2022-11-01 23:48:55,
3552337759,Thunderbolt Fantasy 东离剑游纪 2,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2529356960.jpg,2018-10-01(日本),https://movie.douban.com/subject/27101851/,8.8,"动画,奇幻,武侠",4,,,2022-11-01 23:48:38,
3552337623,Thunderbolt Fantasy 东离剑游纪,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2358809088.jpg,2016-07-08(日本),https://movie.douban.com/subject/26724115/,9,"剧情,动作,动画",4,,,2022-11-01 23:48:33,
3552336601,社交网络,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2553756806.jpg,2010-09-24(纽约电影节),https://movie.douban.com/subject/3205624/,8.2,"剧情,传记",3,,,2022-11-01 23:47:48,
3552336358,霹雳侠影之轰掣天下,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2157611699.jpg,2013-11-01,https://movie.douban.com/subject/25761090/,8,"剧情,动作,奇幻",3,,,2022-11-01 23:47:39,
3552335797,霹雳侠影之轰定干戈,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1988464958.jpg,2013-06-07(中国台湾),https://movie.douban.com/subject/24722810/,8.4,武侠,3,,,2022-11-01 23:47:15,
3501981504,故园风雨后,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p584617950.jpg,2008-10-03(英国),https://movie.douban.com/subject/2034997/,7.8,"剧情,爱情",4,,,2022-09-18 15:08:31,
3501208712,明亮的星,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2020692041.jpg,2009-11-06(英国),https://movie.douban.com/subject/2072848/,7.8,"剧情,传记,爱情",4,,,2022-09-17 22:36:14,
3494402043,小妇人,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2572813215.jpg,2020-08-25(中国大陆),https://movie.douban.com/subject/26348103/,8,"剧情,爱情",3,,,2022-09-11 22:13:23,
3477968388,霹雳侠影之轰动武林,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2550271964.jpg,2013-01-12,https://movie.douban.com/subject/20471076/,8.6,"奇幻,武侠,古装",2,,,2022-08-29 02:19:47,
3477757564,分手的决心,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2873816122.jpg,2022-05-23(戛纳电影节),https://movie.douban.com/subject/35073886/,7.6,"剧情,犯罪,悬疑",4,,,2022-08-28 23:22:03,
3472196007,企鹅公路,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2555927320.jpg,2019-05-17(中国大陆),https://movie.douban.com/subject/30158971/,7.6,"动画,奇幻,冒险",5,,,2022-08-24 22:41:40,
3466203549,青春变形记,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2868096837.jpg,2022-03-11(美国网络),https://movie.douban.com/subject/35284253/,8.2,"喜剧,动画,奇幻",4,,,2022-08-20 23:09:39,
3461075454,素还真,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2694721795.jpg,2022-01-28(中国台湾),https://movie.douban.com/subject/35622269/,6.7,"剧情,武侠,古装",3,,,2022-08-17 08:33:16,
3458042824,末路狂花,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1910924635.jpg,1991-05-24(美国),https://movie.douban.com/subject/1291992/,8.9,"犯罪,剧情,惊悚",4,,,2022-08-14 20:22:01,
3450063569,霹雳惊鸿之刀剑春秋,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2553146947.jpg,2012-10-12,https://movie.douban.com/subject/19973814/,8.5,"武侠,戏曲,舞台艺术",4,,,2022-08-08 02:46:28,
3448413843,阿飞正传,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2525770523.jpg,2018-06-25(中国大陆),https://movie.douban.com/subject/1305690/,8.5,"犯罪,剧情,爱情",4,,,2022-08-06 22:01:16,
3442268376,倩女幽魂,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2414157745.jpg,2011-04-30(中国大陆),https://movie.douban.com/subject/1297447/,8.8,"爱情,奇幻,武侠",4,,,2022-08-01 13:48:35,
3424160046,东邪西毒,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1982176012.jpg,1994-09-17(中国大陆),https://movie.douban.com/subject/1292328/,8.6,"剧情,动作,爱情",4,,,2022-07-17 00:30:17,
3416784370,重庆森林,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p792381411.jpg,1994-07-14(中国香港),https://movie.douban.com/subject/1291999/,8.8,"剧情,爱情",5,,,2022-07-10 16:58:39,
3409618224,剧场版魔法少女小圆 新篇 叛逆的故事,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2151582333.jpg,2013-10-26(日本),https://movie.douban.com/subject/10569151/,9.2,动画,5,,,2022-07-03 23:16:35,
3409188524,剧场版魔法少女小圆 后篇 永远的故事,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1957621170.jpg,2012-10-27(中国香港),https://movie.douban.com/subject/10569150/,9.2,动画,4,,,2022-07-03 17:18:58,
